,id,name,bic,transaction_total_days,countries,logo
28,BANCA_DELL_ELBA_ICRAITRRT40,Banca Dell´elba,ICRAITRRT40,365,['IT'],https://cdn.nordigen.com/ais/BANCA_DELL_ELBA_ICRAITRRT40.png
29,BANCA_DI_ANCONA_E_FALCONARA_MARITTIMA_ICRAITRR2E0,Banca Di Ancona E Falconara Marittima,ICRAITRR2E0,365,['IT'],https://cdn.nordigen.com/ais/BANCA_DI_ANCONA_E_FALCONARA_MARITTIMA_ICRAITRR2E0.png
30,BANCA_DI_ANDRIA_ICRAITRRUL0,Banca Di Andria,ICRAITRRUL0,365,['IT'],https://cdn.nordigen.com/ais/BANCA_DI_ANDRIA_ICRAITRRUL0.png
31,BANCA_DI_ANGHIARI_E_STIA_ICRAITRR9L0,Banca Di Anghiari E Stia,ICRAITRR9L0,365,['IT'],https://cdn.nordigen.com/ais/BANCA_DI_ANGHIARI_E_STIA_ICRAITRR9L0.png
32,BANCA_DI_BOLOGNA_BDBOIT21,Banca Di Bologna,BDBOIT21,90,['IT'],https://cdn.nordigen.com/ais/BANCA_DI_BOLOGNA_BDBOIT21.png
33,BANCA_DI_CARAGLIO_DEL_CUNEESE_E_DELLA_RIVIERA_DEI_FIORI_CCRTIT2TCAR,"Banca Di Caraglio, Del Cuneese E Della Riviera Dei Fiori",CCRTIT2TCAR,90,['IT'],https://cdn.nordigen.com/ais/BANCA_DI_CARAGLIO_DEL_CUNEESE_E_DELLA_RIVIERA_DEI_FIORI_CCRTIT2TCAR.png
34,CIVIDALE_CIVIIT2C,Banca di Cividale,CIVIIT2C,730,['IT'],https://cdn.nordigen.com/ais/CIVIDALE_CIVIIT2C.png
35,BCC_BERGAMASCA_E_OROBICA_ICRAITRRQ40,Banca Di Credito Cooperativo Bergamasca E Orobica,ICRAITRRQ40,90,['IT'],https://cdn.nordigen.com/ais/CREDITO_COOPERATIVO_CASSA_RURALE_ED_ARTIGIANA_DEL_FRIULI_VENEZIA_GIULIA_CCRTIT2T96A.png
36,BCC_CASSA_RURALE_DI_VAL_DI_FIEMME_CCRTIT2T50A,Banca Di Credito Cooperativo Cassa Rurale Di Val Di Fiemme,CCRTIT2T50A,90,['IT'],https://cdn.nordigen.com/ais/BCC_CASSA_RURALE_DI_VAL_DI_FIEMME_CCRTIT2T50A.png
37,BCC_DEI_CASTELLI_E_DEGLI_IBLEI_CCRTIT2TIBL,Banca Di Credito Cooperativo Dei Castelli E Degli Iblei,CCRTIT2TIBL,90,['IT'],https://cdn.nordigen.com/ais/BCC_DEI_CASTELLI_E_DEGLI_IBLEI_CCRTIT2TIBL.png
