"BIC","LEI"
"BCTLTLDIXXX","549300SJ7CE6KN8F1Q37"
"BCTNTNTTXXX","254900B5LFB16S9T2T11"
"BCTOCOBBXXX","5493005VD794JCHUFK43"
"BCTOPAPAXXX","549300DJBPR1DS6OWL09"
"BCTRITM1XXX","815600DFEE2DDA979636"
"BCUCUS31XXX","2549006Q2SCXK1988H68"
"BCUEBRS1XXX","549300NG5F8DSHWRWF86"
"BCUOIE21XXX","635400CVME1O4432GV36"
"BCVAIT2VXXX","815600BEE9123CD92E12"
"BCVLCH2LXXX","K1MOBB3OPSBBQO554R76"
"BCVLGGSPXXX","213800EA5LZP5XTNYN64"
"BCVMCA8VXXX","549300C74Y46JUAO4N13"
"BCVRITM1XXX","815600FFCA10140CCB54"
"BCVSCH2LXXX","549300YI34DX51LRGS71"
"BCXGZAJ1XXX","9845000Q157EVA898F65"
"BCYPCY2NXXX","549300P8PCUCMISDC956"
"BCYPCY2NXXX","PQ0RAP85KK9Z75ONZW93"
"BCYPGB2LXXX","2138008LEZ3ZLF8HJ541"
"BDAAAOLUXXX","2549005AHDKYXTI3YE23"
"BDAJCIABXXX","549300BDBM4VD1WIY331"
"BDBDIT22XXX","81560026D234790EB288"
"BDBLLBBEXXX","5493006RVNNQ4VVP1V75"
"BDCGFRP1XXX","969500473WCCQG6IUS39"
"BDCIIE21XXX","635400M7OWD3YT3T9P27"
"BDCLIE21XXX","635400BRRL3HHUAJVA93"
"BDCNUS41XXX","549300YDRBE070QV6D21"
"BDCPITTTXXX","8156009D703BF86C6880"
"BDCUIE21XXX","6354004FVVFFSRBUUW50"
"BDEIFRPPXXX","9695007Q51GSYUQQ0D72"
"BDEMMXMMXXX","5493000PF3WCYN9ML549"
"BDEPESM1XXX","5493007LK0D8SKLLH161"
"BDERUS3MXXX","549300WBCQHX42LBGI20"
"BDESPHM1XXX","549300MEW0CVY0VEL904"
"BDFEFR31XXX","9W4ONDYI7MRRJYXY8R34"
"BDFEFRPPXXX","9W4ONDYI7MRRJYXY8R34"
"BDFGDEF1XXX","529900AQBND3S6YJLY83"
"BDFTFRP1XXX","9695007B9JFMLO5B3A94"
"BDGRITM1XXX","815600EFC7FECA1B7B18"
"BDIGMZMAXXX","213800N6OUNPDR663I59"
"BDIGPTPLXXX","213800KYUPNOQPAQL758"
"BDINIDJAXXX","254900XB9K06L7PWEP97"
"BDIRFRPPXXX","969500GFIL2Z81YKUM35"
"BDKIIDJAXXX","254900LD41X5SQ939O73"
"BDKRSNDAXXX","5493005TEEMDRLBB2B12"
"BDLBFRP1XXX","969500473WCCQG6IUS39"
"BDLCLBBXXXX","549300CRG6KNLZMYZH16"
"BDMSIE21XXX","54930066MUEDFDDB3X51"
"BDOFOMRUXXX","6354004C6R7INCP4CN20"
"BDRIIE21XXX","635400LECFQOFWLODP55"
"BDRNIE21XXX","635400KQGPB2OWR2YQ51"
"BDSCPHM1XXX","2549004GMVCHRYS8LW05"
"BDTGNL22XXX","724500XFMNHF1GFPYJ05"
"BDWBDEMMXXX","529900JFOPPEDUR61H13"
"BDZWUS41XXX","AC28XWWI3WIBK2824319"
"BEACCMCXXXX","213800O4EMKOXXZY9130"
"BEAEUS61XXX","54930066X7J83KHSTS98"
"BEAGGB21XXX","213800X5E31YSIKONI13"
"BEAIAUS1XXX","5493001L8F4AE6ODE579"
"BEAMAUA1XXX","549300KP1F33MIYFFP74"
"BEAOCA91XXX","549300OXKJZP9X58ZW12"
"BEARGB21XXX","5493002SLHKGT77FYU25"
"BEARUS33XXX","ZBUT11V806EZRVTWT807"
"BEASCNSHXXX","300300C1050231004984"
"BEASHKHHXXX","CO6GC26LCGGRTUESIP55"
"BEBCCHG1XXX","254900T3JUPRTYZELR60"
"BEBNNOB1XXX","549300Q5JRTVVV8W8633"
"BEBNNOB1XXX","213800QJL36QHNBPF654"
"BEBOGB21XXX","213800O9FNN179AUWX06"
"BEBSGB21XXX","2138006H4YYN1CQFGX41"
"BECBUS31XXX","549300MKT4KNKP08CQ45"
"BECHCLRMXXX","5493004R4EJC0W0XVQ72"
"BECKESM1XXX","9598002N44FY4MZFPQ62"
"BECMGB21XXX","549300PL06CMX2TBY506"
"BECSGB21XXX","213800TFHKG4Q3XKMI63"
"BECXKWKWXXX","894500RKNTESM9WUWI29"
"BEDFESM1XXX","549300CM3R8O9D5Q9M94"
"BEDLJESHXXX","213800499ZFMADCY7Q89"
"BEDMPLP1XXX","259400I8YOW5HPO1QY82"
"BEECGB21XXX","549300VO8J8E5IQV1T26"
"BEEEGB21XXX","7Y1D3TSNJ46Q5DUBC648"
"BEEKNOB1XXX","549300527HTVCIOC3Q61"
"BEENIE21XXX","635400H54FDIWXQ1DX93"
"BEEPITM1XXX","815600928BF890C5C787"
"BEERESM1XXX","95980020140006002537"
"BEEYHKH2XXX","98450053A5102EE7C044"
"BEFFDEB1XXX","5299004IU009FT2HTS78"
"BEFMAU31XXX","254900MWZH3SC35JUR20"
"BEFNBGS1XXX","529900E7ED2Z8WLU4F66"
"BEFONOB1XXX","549300H0QDQHRJXRM779"
"BEFRCH22XXX","5493008MSAGSTUCMKL66"
"BEFTNL21XXX","724500T1EJNA00VJUI72"
"BEGCESMMXXX","95980066N7HDRRNUT755"
"BEGFGB22XXX","635400LSFAEFKDSBOC05"
"BEGGDEB1XXX","529900O3DNOKTL5SSY74"
"BEGHIT21XXX","8156000B22320A2F5365"
"BEGOCHZZXXX","5299003C6LOOIE130N42"
"BEGODEHHXXX","529900UC2OD7II24Z667"
"BEGPIT21XXX","815600772576F4F44595"
"BEHDCH22XXX","506700339DLX749VEM23"
"BEHLBE8WXXX","529900U5Q0OMQL09HK37"
"BEHOITM1XXX","815600B6B10EF9A93F47"
"BEHSUS31XXX","254900VP1L7G987CB424"
"BEHTDE66XXX","529900HA2QT774RUXW59"
"BEIBGB21XXX","213800O9FNN179AUWX06"
"BEIDFIH1XXX","743700H6XVBKKRJLTE87"
"BEIFDEHHXXX","L47NHHI0Z9X22DV46U41"
"BEILLULLXXX","5493006YXS1U5GIHE750"
"BEITTNTTXXX","54930084D4GHY7VKB392"
"BEKFGB21XXX","213800GWMSRCJYDTHO27"
"BEKHUS31XXX","549300LR1ZETOWYE9Z89"
"BEKNUS33XXX","DXCAIPBUG5H0Q58VYG03"
"BELADEBEXXX","GTQYZJON3I7SXRNJTT73"
"BELBBY2XXXX","25340038P8SYW80B9W34"
"BELDPLP1XXX","259400FHBHPI1FCNFR58"
"BELERUMMXXX","253400F8K126F5WX2996"
"BELFDE66XXX","52990063N0MNER65UB03"
"BELHBEB1XXX","894500GYCGZIJHKL8113"
"BELLCHZZXXX","549300I2Y1LCN3FHSB30"
"BELPPEPLXXX","549300WQ41SAC0F5MZ89"
"BELRRU51XXX","2534000JY55893SGEG45"
"BELTEGCAXXX","2549006SNAUNGKOGKZ83"
"BELVIT21XXX","8156003ACE6FA18D2D66"
"BEMABMHMXXX","549300D618WKAUGSFT35"
"BEMBBEB1XXX","5493002O45RIGIQRD104"
"BEMLUS31XXX","2549004YP4KLXNS87R38"
"BEMOFRPPXXX","969500WFY6K5KTMAXE88"
"BEMOLULLXXX","549300SI0RO37NRYM538"
"BEMRGB21XXX","529900XV3G9LB0F1P877"
"BEMTAU31XXX","549300NRZEESFAGF4593"
"BENBGB22XXX","549300MWWOL8Q7EVI995"
"BENDAU3BXXX","549300Y9URD6W70K0360"
"BENEHKH1XXX","5493005K5G7YGUDP9M15"
"BENPBEB2XXX","5493006KHXBRQ33GGR66"
"BEOARU21XXX","2534001VHLQ1L34HNW95"
"BEOLUS32XXX","254900WNB33E53292541"
"BEONUS33XXX","ICE2EP6D98PQUILVRZ91"
"BEORCZP2XXX","315700HJFIFM29890471"
"BEOSITM1XXX","815600E57C8E667D0342"
"BEPRGB21XXX","213800M9F9L6CSF27N63"
"BEPVFRP1XXX","969500WJNB0G6KLBGF69"
"BEPYAU31XXX","254900HIBPEOM9FQ2L37"
"BERAARBAXXX","579100HDDFJBHJJKF073"
"BERKUS33XXX","549300LR1ZETOWYE9Z89"
"BERLMCMCXXX","2138004JHFADM38LBP89"
"BERNZAJJXXX","3789001EC0C8B297FA40"
"BERTBMH1XXX","213800CWWS2B77LUJ848"
"BERUIE21XXX","635400Q71W5EHB2CGL58"
"BESAPTPAXXX","549300EP6JOM2CY64233"
"BESBBRSPXXX","549300P2JSTCSHO5JG54"
"BESCAOLUXXX","549300TP70GP7J3FPI13"
"BESCCVCPXXX","549300MZXX1MYLR8K747"
"BESCPTPLXXX","5493009W2E2YDCXY6S81"
"BESNIE21XXX","549300Q5VVMOFZGJNF15"
"BESTDK22XXX","213800VIH5AL9VOSRF63"
"BESZPTPLXXX","549300TW29K5QURDVU59"
"BETBBDD1XXX","549300IBT66DQE0R7L71"
"BETEGRA1XXX","21380051MF78L87PI591"
"BETHDEF1XXX","529900Q34B4VFMNB5G71"
"BETLUS41XXX","549300WJ7B4P1UR7XC30"
"BETMUS33XXX","529900RTJDH0N54S9910"
"BETNGB21XXX","213800FP3PEOX3EW6W13"
"BETPNL21XXX","724500150EYZNR0TNE93"
"BETRGB21XXX","213800NVU66DN88L4U91"
"BEUOIT21XXX","81560025CB177E269455"
"BEUSITM1XXX","549300O5SFD1U4WL4Q16"
"BEVBUS44XXX","549300FOO7XNZ1564N12"
"BEVODEBBXXX","529900T7MYZUMMW4O176"
"BEVRITM1XXX","8156002B73BC81738128"
"BEXGVGVGXXX","549300J6FMMW68CHJ046"
"BEXSBRSPXXX","549300ME0BXGTWSKMK34"
"BEXTVECAXXX","2549002HM95108F7P207"
"BEYIITM2XXX","8156000C69566FCAA022"
"BEZHCNB1XXX","300300C1380411000059"
"BFATBRS1XXX","54930045C7LFCFWRO654"
"BFAVMGMGXXX","549300D8RGUM42PP7Q90"
"BFBKFRP1XXX","9695005HLMTFJJDOB797"
"BFCAFRP1XXX","969500VRSFWX7S1P2M29"
"BFCBBFB1XXX","5493006ZL3GIBMNREO59"
"BFCCBHBMXXX","549300E7XSMTIA5ORC60"
"BFCORERXXXX","969500K8IQ975QPQKN89"
"BFEARUMMXXX","25340076UP17XECUF417"
"BFERROBUXXX","529900HO7D9PZWCL4924"
"BFGEFRP1XXX","7IZ3Y5LMSQ34P1JVVF28"
"BFHSNO21XXX","5967007LIEEXZX661C73"
"BFIAPTPLXXX","2138003Z5ZVN16GFYV70"
"BFIICVCVXXX","529900PCXF20HXBMCW39"
"BFIMIMD1XXX","549300SC000TFX78OJ56"
"BFINITMMXXX","8156008C6AD59E236F76"
"BFIRHKH1XXX","54930025BDY2HW6EF014"
"BFIVESBBXXX","2138001YBO7CJNQOEE37"
"BFKKAT2KXXX","529900B9P29R8W03IX88"
"BFLBUS3MXXX","5493006Q0EMYD3OJ8N13"
"BFLCFR21XXX","8945002FLKL2G0QD8176"
"BFMXAOLUXXX","213800KIJXN7BIRCF102"
"BFOFNL2RXXX","549300LRI77T5F28OH18"
"BFOKUS44XXX","549300MNZECUR067HB12"
"BFRFFRPPXXX","9695004MVWBDL01XKC60"
"BFRILI22XXX","529900RQOBT3ZJMDRK43"
"BFRLCAT1XXX","M3LKFDNSJGJ7TMLH6Z15"
"BFRPARBAXXX","579100KKDBKJFDKKD024"
"BFSAARBFXXX","579100BKDJDKGKHHF040"
"BFSOTHB1XXX","254900O3VGICUQDW9I76"
"BFSUARB1XXX","579100IKDCJEFBFBE088"
"BFSWDE33XXX","5299000R7WZOVIFHLN21"
"BFSZIT2PXXX","529900HWBYCO8M2UN457"
"BFTVVNVXXXX","2549004TS5QUBFGAWE51"
"BFWODE71XXX","529900GFT28SEW1QSG52"
"BGAGCH22XXX","529900LSDO2YMUQHJN26"
"BGALPTPLXXX","54930037NWG1CCVQHF93"
"BGANGB21XXX","549300MIQ50BBNEB3G95"
"BGBKCNBJXXX","300300C1083245000089"
"BGBMDEF1XXX","529900NA0B4IRY21VH50"
"BGCFUS33XXX","549300NP4MIDUNET0550"
"BGCNLUL2XXX","254900C1S0RI22GIWS59"
"BGCUIE21XXX","635400CMG1PROFX9EY63"
"BGECIE21XXX","635400RBHKSLAKXWCG46"
"BGENATWWXXX","529900MTQXTM5IIGOI81"
"BGENIT2TXXX","815600903231FA2E7698"
"BGFCUS31XXX","8SP4DPNKBJXD8RON4R15"
"BGFIFRPPXXX","969500XIJY3MBZBA0I30"
"BGFOCNSHXXX","3003006P7U6XMWQ1H258"
"BGGMDE7SXXX","529900B0IWNEG2L9MZ93"
"BGHSCNB1XXX","549300V9CB2J5I3SR572"
"BGIAHKH1XXX","549300538IVQOFAXTY69"
"BGIGCHG1XXX","549300FHGS1W8Y8Y9X51"
"BGLANL2AXXX","213800JTHPE2LUEMTP38"
"BGLDBRR1XXX","549300LAFD5QRROLSB17"
"BGLLLULLXXX","UAIAINAJ28P30E5GWE37"
"BGNBPYPXXXX","254900WQGYVGGS3DTR30"
"BGOSKYKYXXX","FY6H55HKZCD6H09Z1Q81"
"BGPFGB21XXX","UHW8J6W3L0NAAJPWCH59"
"BGRRITM2XXX","815600E1521C08286774"
"BGSAESMMXXX","95980020140005950351"
"BGSCCNB1XXX","5493006J69H2XC7C7245"
"BGSLITM2XXX","815600FFA51178402782"
"BGSPIT21XXX","81560019212145D28147"
"BGSRIT21XXX","81560047244D203C3E55"
"BGSTUS33XXX","TF9O1XIG83ZLXX7WN472"
"BGUSBGSFXXX","529900UTZ5VF4APIJR57"
"BHAGIDS1XXX","549300CSSXBX5D7HKJ69"
"BHANIDJ1XXX","254900QZTRB37BYXEL30"
"BHBADES1XXX","5299005TV0L59BVRQG23"
"BHBCCNBTXXX","300300C1104912000087"
"BHBKTNTTXXX","254900QDE22PUWBL1N07"
"BHCNCA8VXXX","B3BS7ACMDUWISF18KY76"
"BHCSGB22XXX","984500ECE9EC05EDE614"
"BHCUIE21XXX","635400VFFGFWNTNFO205"
"BHELSHJJXXX","213800GV5LP3HCLLZY42"
"BHFBCHZZXXX","529900RLW2ND6M6F7864"
"BHFBDEFFXXX","529900XLAZ15LYK8XK27"
"BHIMCAT1XXX","549300G5331W09285383"
"BHINPAPAXXX","549300YDYVW90IFPHY85"
"BHIPARBAXXX","579100KKDKKHFCBKB005"
"BHIRJES1XXX","5493002E7TNTNXY7TG04"
"BHLDCNBDXXX","300300C1082121000076"
"BHLLCA81XXX","549300T0EM8DDTDWZP60"
"BHLSDEM1XXX","529900J7MNGH9AFRRD37"
"BHLSDEMMXXX","529900J7MNGH9AFRRD37"
"BHMSUS41XXX","213800XRVTFKWDGW6Y09"
"BHNBUS3BXXX","549300UWA74T8PF7KY34"
"BHPBGB2LXXX","5493005HF4FUC48VS377"
"BHRCCNB1XXX","300300C1248815000041"
"BHRVCNB1XXX","300300C1138411000042"
"BHSIGB21XXX","213800GY4EJ529SQ2G40"
"BHSRITM2XXX","81560095CD41F235F688"
"BHWBDE2HXXX","7D9EHZL14BBPJWTN6S08"
"BHYPDEB2XXX","529900C4RSSBWXBSY931"
"BIAAHKH1XXX","549300HM4HEVJSKTDN54"
"BIAFMXMTXXX","4469000001BV19OYVQ77"
"BIAGBNB1XXX","5493009WCP2M6GLMND26"
"BIAGBNBSXXX","5493009WCP2M6GLMND26"
"BIAMDKK2XXX","549300RT3HUPVHDUZ811"
"BIARFRPPXXX","9695008TGGMCE0GC1Q03"
"BIATTNTTXXX","549300EZRO2TE67W7P49"
"BIBBBHBMXXX","558600FAUY6XHS2B0J49"
"BIBCPRSJXXX","254900TP6EHI9X7JRU97"
"BIBDBNBBXXX","254900M3VM80WB4R1V15"
"BIBKKEN1XXX","213800BIHR6TUQE4PB80"
"BIBMCH22XXX","549300SNN0C8LGK00O69"
"BIBPMXMMXXX","4469000001BTVQ0NZM92"
"BIBRBRSPXXX","549300M0TV8E1AJVSE39"
"BIBSGB21XXX","213800J84XVGP446FR39"
"BIBTTCG1XXX","549300JZCEAE9IY7LR48"
"BICAARBSXXX","579100CKDCDDHJDBB087"
"BICBBRSPXXX","254900Y5QNMJ8Q7VRW72"
"BICBKYKYXXX","254900888UCSAN4N4Q57"
"BICCKMKMXXX","213800TL9JG6HLJMHB44"
"BICECLRMXXX","549300GZLN4QH0YBEL90"
"BICFCHGGXXX","5299000IACYGAU83DI17"
"BICFFRPPXXX","969500Q0AKBOIX5OK547"
"BICHCLRMXXX","5493003V1TL4JIGNKM59"
"BICIBFBXXXX","213800YIJVX7WSX9MI62"
"BICICIABXXX","213800AN74H6CW4MAP75"
"BICIGALXXXX","2138009RSHBBFY9NQA62"
"BICIGNCXXXX","2138002U29YTPPRF1O03"
"BICIMLBAXXX","213800WCDKGGIDUWKE14"
"BICISNDXXXX","2138004GV27BUAY7O765"
"BICKNL2AXXX","7245006VSPI8FWN4DW03"
"BICNIDJAXXX","54930051VDJMG2DKXL81"
"BICXARBAXXX","579100BKDKBIGDCFJ024"
"BICYBGS1XXX","4851001BB7F6NGV10373"
"BIDBZAJJXXX","254900CUKD5KZF5L9072"
"BIDLUS31XXX","549300I4FIV0GPT5LF55"
"BIDSMXMMXXX","YH0V7ZHY352ITDGEYB83"
"BIDVVNVXXXX","254900FSO240QVE6NR86"
"BIEDLUL1XXX","222100GYAM8FCG77WC52"
"BIEEBHB1XXX","549300L34SVNLDX2HM14"
"BIENNOK1XXX","5967007LIEEXZXEW2W49"
"BIEPGB31XXX","89450084P3B8OP7DSD72"
"BIESIT31XXX","815600C41423BF4CC386"
"BIETGB21XXX","549300V53NCUNO4KVO42"
"BIEZPLP1XXX","259400O6LI8ALII9U373"
"BIFAFR21XXX","969500Z7X8B459OWUU30"
"BIFDPTP1XXX","95980020140005997493"
"BIFIGB21XXX","213800XD81JIIVGC6X08"
"BIFLLUL2XXX","2549003P7NIDT7ESSF47"
"BIFMBWGAXXX","254900XZZG8BK9ZCA648"
"BIFSPEPLXXX","G6RQYH0IRIK3ZW7ADP84"
"BIFXGB21XXX","213800DSLFNRYQXCJB22"
"BIGABRRJXXX","5493009NOBCCL6BI4R68"
"BIGABSNSXXX","549300YV2LNLS7BBHF64"
"BIGBPLPWXXX","259400OFDZ9KPZEO8K78"
"BIGKEE2BXXX","5493007SWCCN9S3J2748"
"BIGMFRPPXXX","969500L6GR6D8AYYL451"
"BIHAUS32XXX","549300R4XILOL7HDRE77"
"BIHOCAMMXXX","W7L3VLU8EHQY34Z36697"
"BIIDIT21XXX","213800V41GEZTRIJT462"
"BIIIIT21XXX","815600CD50FE60369B07"
"BIIMMRMRXXX","549300XOHLO9G78P6819"
"BIINARBAXXX","579100CKDEHBFHBCE008"
"BIIOFR21XXX","969500NG7OLTLEPZPJ31"
"BIIPSGS1XXX","549300ZJN237XZZ40234"
"BIJORU66XXX","2534007T2QFUSCHQPU36"
"BIKEJPJSXXX","353800XMVCFXD0623156"
"BIKNLT21XXX","254900QYAJLN5JIZNE80"
"BILADE55XXX","529900MPVCAOW4A6PE25"
"BILFDE5MXXX","529900H0HULEN2BZ4604"
"BILLDKKKXXX","5493000L46XME42NGZ62"
"BILLHKHTXXX","549300F4FRLC5IW56R09"
"BILLIE2DXXX","549300SCM0CLLTRZE394"
"BILLLULLXXX","9CZ7TVMR36CYD5TZBS50"
"BILSCHZZXXX","5067004K5ZC7453APV33"
"BIMBMYKLXXX","254900C59ULCE3MXMT50"
"BIMCHUH1XXX","529900ZNGNYY5CBWHF14"
"BIMEMXMMXXX","549300ALY1LDVQGKWL18"
"BIMIUS33XXX","V48XYRSNOB3HY0J4NK61"
"BIMOMZMXXXX","5299006MMI32KTCSSY64"
"BIMPCRSJXXX","549300PNY73XR92RF524"
"BIMRTRI1XXX","789000Y7C77203JLL640"
"BIMTITTTXXX","RY3KI4Q2655O2GIL8D68"
"BINAADADXXX","54930045NV2KF7U3GI68"
"BINPPEPLXXX","5493001TRCGXJLRLHN14"
"BINTECEQXXX","549300XHJYFMEFOFGN31"
"BIOABE71XXX","9676005WYGKLVIDPYW04"
"BIOCIT31XXX","8156005B742CABA3E972"
"BIOEIT21XXX","815600CE609AFE44D992"
"BIOMFR22XXX","549300AK8Y0LBIQ4T071"
"BIONIT21XXX","8156009100955F7DD473"
"BIOOIT21XXX","8156001A4CBBB7B42E94"
"BIOTDEBBXXX","529900PREO4NJVJ96L48"
"BIOUIT21XXX","81560005DC87EB76B488"
"BIPCGB21XXX","Z9B60TNDM8U1G327S712"
"BIPEIE21XXX","635400LFDWJ58VFTGB88"
"BIPNPRSJXXX","213800G2GSNLFT2TMH60"
"BIRCCHGGXXX","213800VGFKO4K5IJUI20"
"BIRDJPJZXXX","3538006OCSOZXT8VIP96"
"BIRIIE21XXX","635400I3HXFDZVEKYO61"
"BIRMGB21XXX","549300J43MRRHUL8JX64"
"BIRNIE21XXX","635400JJZDUA8I1DLJ46"
"BIRUIE21XXX","635400AVSQPQ83KA1N36"
"BISBCHBBXXX","UXIATLMNPCXXT5KR1S08"
"BISDITM1XXX","815600BB8B23AFC4D148"
"BISFDEHHXXX","529900GGYCI0IK2WYI41"
"BISNNO21XXX","5967007LIEEXZX7KYO03"
"BITAITRRXXX","549300TE4WZOT0R7UU56"
"BITCBSNSXXX","254900QZTQH5XZG83F29"
"BITCBSNSXXX","5493002BMCPMGCDOIJ98"
"BITCBSNSXXX","549300R0UQ43HJ5WQN31"
"BITLMXM1XXX","213800APBQ4LDMURMV76"
"BITNGB21XXX","5493004NRE4TCTRC2D29"
"BITSNL2AXXX","894500WVFMR0K7RALV33"
"BITTGB2LXXX","549300G6YW0676UM5S33"
"BIURPHM2XXX","254900EW0WUZXJVMF012"
"BIWBDE33XXX","529900MKYC1FZ83V3121"
"BIYCHKH1XXX","254900VV3B1TP4S8UF14"
"BIYIKNN1XXX","63540074IUMPLH51H760"
"BIYSGB2LXXX","2549003ENO36WUFKQE23"
"BJAZSAJEXXX","558600FGNP3JML7WY215"
"BJCNCNBJXXX","300300C1080211000042"
"BJHSCHZZXXX","1N66B6IZ3PPGHI6ZZQ73"
"BJIOMXMLXXX","4469000001BD95FFLY16"
"BJMRZAJJXXX","378900F9589795F26F78"
"BJORJOAXXXX","254900XI5ZZJOK7NC049"
"BJSBGIGXXXX","549300HI3GYE86825R87"
"BJSBMCMXXXX","549300X8T9CWHQJ2PT67"
"BJUGNO21XXX","5967007LIEEXZX6YL456"
"BJULARBCXXX","579100HKDCEBGGEFB045"
"BKABSE22XXX","549300YJUYJ9A24RXL71"
"BKAMMAMRXXX","549300V063DQ03ISLT39"
"BKAOTWTKXXX","549300DS5HSXU83N7Y88"
"BKAUATWWXXX","D1HEB8VEU6D9M8ZUXG17"
"BKAUKYK1XXX","549300NF83HAQ1G1DU82"
"BKAVRU2KXXX","253400017UY0F1E7Q426"
"BKBBCHBBXXX","HV5W8PGLJ127N2SFSM23"
"BKBKESMMXXX","VWMYAEQSTOPNV0SUGU82"
"BKBKLULLXXX","549300FCO24OZMMRHE09"
"BKBKPTPLXXX","529900H11LEUBMTAMY36"
"BKCHAU2AXXX","549300WTHUV5DF3HHH67"
"BKCHCATTXXX","549300OLZFLPH7LVXW89"
"BKCHCHGEXXX","506700B3ZA956GIX6Q24"
"BKCHCNBJXXX","54930053HGCFWVHYZX42"
"BKCHDJJDXXX","549300AJ1Q8WP58TPP33"
"BKCHGB2UXXX","213800SVCJUHY6VX7884"
"BKCHHKHHXXX","KNPC1X7GHDZW8U2ZSF89"
"BKCHHKHKXXX","549300OGSFI8KL1WUU09"
"BKCHHUHBXXX","529900L6M79Q98YVU182"
"BKCHLULAXXX","529900LKIMB57HKF3545"
"BKCHMOMXXXX","54930047DU4WCPOIO219"
"BKCHMYKLXXX","254900TZBLP16TCAJC54"
"BKCHRUMMXXX","2534007W8ESE627GYV61"
"BKCHTRISXXX","789000FXOEXZUXZ8CV28"
"BKCHZMLUXXX","213800DIEMENQXV8TT12"
"BKCOBRSPXXX","549300ZIQFP7BVD4RG03"
"BKENGB2LXXX","YUEDD7W89PH0FV8Q2S28"
"BKEWMYK1XXX","254900PIFASJ03OESS22"
"BKFSCNBFXXX","300300C1081221000029"
"BKGZCNBNXXX","300300C1087336000018"
"BKHDCNBJXXX","300300C1088813000006"
"BKHZCNBHXXX","300300C1092433000042"
"BKIDBE22XXX","894500WW71AUXGUNAR71"
"BKIDINBBXXX","21380058KMSRJIL8C294"
"BKIGRWRWXXX","254900GUSB1Y1M7ES751"
"BKIRKIKIXXX","549300VE1VLZB8T28366"
"BKJNCNBJXXX","300300C1089737000084"
"BKKBCNSHXXX","300300C1063131000064"
"BKKBTHBKXXX","549300CCL2BKJGMYXV60"
"BKMADE61XXX","391200N0BCBVNXBRVE65"
"BKMEKWKWXXX","549300HY2WIPGTF66H32"
"BKMGNL2AXXX","5493001H5BP31T28VF34"
"BKMUDEB1XXX","391200TOJJCADFCVKW08"
"BKMZDE51XXX","5299001R998PVUCDKR55"
"BKNBCN2NXXX","300300C1092133000091"
"BKNLGB22XXX","984500954B3E0BB1F775"
"BKNZNZ22XXX","N7LGVZM7X4UQ66T7LT74"
"BKONMUMUXXX","635400UMPJGL1BAXRX87"
"BKPRBSN2XXX","2138008ZUXHJXU69LB74"
"BKQZCNBZXXX","300300C1082335000021"
"BKRAITMMXXX","529900T32UL0CP1FZA06"
"BKRIUS33XXX","562V2SM4I80MJO5HYB83"
"BKSACLRMXXX","54930018SOOHBHRLWC16"
"BKSEINB1XXX","335800UPB6WYCL1OGO02"
"BKSGJPJTXXX","353800F5W4TG8U8OOA26"
"BKSHCNBJXXX","300300C1088513000055"
"BKTFFRP1XXX","7LTWFZYICNSX8D621K86"
"BKTHCH22XXX","529900UTGB1QPBV0OJ50"
"BKTLHKKHXXX","254900ELPNK7N2UNHR25"
"BKTRUS33XXX","8EWQ2UQKS07AKK8ANH81"
"BKTWCN22XXX","300300RF4TUXNEJ4KP23"
"BKTWCNSHXXX","300300C1203631000040"
"BKTWTWTPXXX","549300QBHSCPTZ7YV010"
"BKUZRU2PXXX","2534003WK8HX1F04F031"
"BKVKUAUKXXX","54930050GOSPXKOWLL34"
"BLAARU21XXX","253400SR5PKC4YLT8019"
"BLAEPAPAXXX","549300CN3134K4LC0651"
"BLAGUS44XXX","IEY25V8W6D7HRX2LB395"
"BLAKUS31XXX","549300LRIF3NWCU26A80"
"BLAMGB21XXX","0XNERYKNM1SJ16DXK809"
"BLAPFRP1XXX","969500QFNG00CCPQNA47"
"BLBABA22XXX","5493008EK06BBQGICG76"
"BLBBBY2XXXX","253400XG24WV7PY3HY18"
"BLCAGB2LXXX","549300HFZ79K1KSXJU45"
"BLCCGB22XXX","984500906759B5B91E46"
"BLCFDK22XXX","254900VGW6POFMVTTU76"
"BLCIIE21XXX","635400OHJASECLBARU85"
"BLCLCHZZXXX","254900QJAKR8SRZ4O018"
"BLCMCAMMXXX","HO0K6ZULL3QE6S6SFW60"
"BLCSCAM1XXX","5493001JLHK7WY7QPD28"
"BLCUIE21XXX","635400HFAXNO6IBLKM87"
"BLDIIE21XXX","6354006HHFTKVILXEV31"
"BLDOIE21XXX","635400SPG6QNOTW8KF63"
"BLDUIE21XXX","6354001G77R9OFGYST89"
"BLEAITM1XXX","815600E4E6DCD2D25E30"
"BLECUS31XXX","549300YXZ68UJGUVAM76"
"BLEMCHGGXXX","213800GK124AQ6HK8S42"
"BLENIE21XXX","635400V2FERV2ICEJM38"
"BLEPGB21XXX","549300Q2Z3B0BNFSSC21"
"BLERGB21XXX","549300S1C03GIXLRSW61"
"BLFCITM1XXX","815600A9653D7A390445"
"BLFLCH2PXXX","549300GLON6NCPMZSN90"
"BLFLCHBBXXX","5493007X1V6FZD1ZPT38"
"BLFLHKHHXXX","549300C1DIJYADR7XM56"
"BLFLIE2DXXX","549300RE2CX3V6XBFC68"
"BLFLIE2XXXX","549300XMNFIY1WJTYD73"
